datetime,first_fire,lead_minutes
2022-05-03 04:19:52,2022-05-03 04:10:00,9.866666666666667
2022-05-03 04:44:08,2022-05-03 04:35:00,9.133333333333333
2022-05-03 05:54:44,2022-05-03 05:45:00,9.733333333333333
2022-05-03 06:39:52,2022-05-03 06:30:00,9.866666666666667
2022-05-03 07:13:42,2022-05-03 07:05:00,8.7
2022-05-03 10:35:54,2022-05-03 10:30:00,5.9
2022-05-03 11:47:34,2022-05-03 11:40:00,7.566666666666666
2022-05-03 14:16:13,2022-05-03 14:10:00,6.216666666666667
2022-05-03 14:35:09,2022-05-03 14:30:00,5.15
2022-05-03 14:53:16,2022-05-03 14:45:00,8.266666666666667
2022-05-03 08:28:04,2022-05-03 08:20:00,8.066666666666666
